Ticker,Weight
ADANIENT.NS,0.12798
ASIANPAINT.NS,0.0
AXISBANK.NS,0.0
BAJFINANCE.NS,0.0
BHARTIARTL.NS,0.08244
BPCL.NS,0.0
COALINDIA.NS,0.03734
DIVISLAB.NS,0.08131
HCLTECH.NS,0.07769
HDFCBANK.NS,0.0
HINDUNILVR.NS,0.0
ICICIBANK.NS,0.0
INFY.NS,0.0
ITC.NS,0.06505
KOTAKBANK.NS,0.0
LT.NS,0.06782
MARUTI.NS,0.0
NESTLEIND.NS,0.0
NTPC.NS,0.10437
ONGC.NS,0.0
POWERGRID.NS,0.05904
RELIANCE.NS,0.0
SBIN.NS,0.0
SUNPHARMA.NS,0.16294
TATAMOTORS.NS,0.0
TCS.NS,0.0
TECHM.NS,0.00462
TITAN.NS,0.1294
ULTRACEMCO.NS,0.0
WIPRO.NS,0.0
